record_id,title,year,doi,pmid,decision,layer_tag,exclusion_reason,relevance_score
BallottaD202641812841,Voluntary modulation of mental effort affects the attentional shift induced by angry faces in women.,2026,10.1016/j.neuroimage.2026.121848,41812841,include,L1,,2
MannaP202641804380,From the Ocular Surface to Neurophysiology: An Integrative Review of Digital Eye Strain.,2026,10.2147/OPTO.S586750,41804380,exclude,,low relevance,0
MathewsI202641782777,"The acute effects of Zensera™ (<i>Melissa officinalis L.</i>) extract on mood and cognitive performance during cognitive overload: a randomised placebo-controlled, double-blind study in healthy young adults with moderate subjective stress.",2026,10.1177/20451253261415706,41782777,exclude,,low relevance,0
WuL202641760727,Characterizing alterations in attention networks under high mental workload.,2026,10.1038/s41598-026-41477-4,41760727,exclude,,low relevance,0
SokratousD202641750192,In-Phase Bilateral Upper Limb Exercises Improve Cognitive and Motor Functions in Progressive Multiple Sclerosis: A Pilot Randomized Controlled Trial.,2026,10.3390/brainsci16020191,41750192,exclude,,low relevance,0
LanderDM202641750183,Impact of Amplification and Noise on Subjective Cognitive Effort and Fatigue in Older Adults with Hearing Loss.,2026,10.3390/brainsci16020182,41750183,include,L1,,3
NewtonN202641712958,Experiences of Alert Fatigue and Its Contributing Factors in Hospitals: Qualitative Study.,2026,10.2196/78676,41712958,exclude,,low relevance,1
daSilvaDF202541710774,Does mental fatigue influence the accuracy of paralympic boccia players?,2025,10.3389/fspor.2025.1724991,41710774,maybe,borderline,,2
YazdanpanahA202641662518,"Social information creates self-fulfilling prophecies in judgments of pain, vicarious pain, and cognitive effort.",2026,10.1073/pnas.2513856123,41662518,include,L1,,2
AliAdeliKoudehi2026e3a216,Integrating arousal and valence approaches to advance cognitive effort research.,2026,10.3758/s13415-026-01409-1,41618032,include,L1,,2
JniorJLFS202641609171,High Mental Fatigue Magnitude Generates Greater Impaired Resistance Exercise Performance Than Moderate Mental Fatigue Magnitude in Trained Adults.,2026,10.1002/ejsc.70128,41609171,maybe,borderline,,2
AvivEmanuel2026ebb778,Computational underpinnings of cognitive effortful performance in short timescales.,2026,10.3758/s13415-026-01407-3,41606313,include,L1,,2
KleinAR202641578111,Examining effects of effort and reward magnitude on effort-cost decision-making in people with major depressive disorder.,2026,10.3758/s13415-026-01400-w,41578111,exclude,,low relevance,1
IslamT202641555518,Perceived Cognitive Fatigability in Multiple Sclerosis: Input from People with Lived Experience on Unmet Needs.,2026,10.1017/cjn.2026.10531,41555518,exclude,,low relevance,0
vanVlietFIM202641528643,Toward Measuring Cognitive Endurance Capacity: A Proof-of-Principle Study in a Healthy Population.,2026,10.1007/s10926-025-10346-8,41528643,exclude,,low relevance,0
HoltonE202641510528,When do we experience effort?,2026,10.1007/s11229-025-05387-8,41510528,exclude,,low relevance,1
GoeppT202541388754,Effect of Cognitive-Motor Dual-Task Training on Sustained Attention Performance and Neuromuscular Fatigue During Incremental Cycling in Trained Athletes.,2025,10.1111/sms.70178,41388754,maybe,borderline,,2
RocA202641352637,Evolution of users' subjective experience over three training sessions with an EEG Motor-Imagery Brain-Computer Interface (MI-BCI).,2026,10.1016/j.brainres.2025.150085,41352637,exclude,,low relevance,0
NagataC202541350572,"Comparing voice-only navigation and paper maps in middle-aged and older adults: A randomized crossover field study of wayfinding, mood, usability, and text-mined user experiences.",2025,10.1038/s41598-025-30590-5,41350572,exclude,,low relevance,0
SattarP202541335783,Brain Activity During Repetitive Cognitive Load in Young Adults: a Pilot Study.,2025,10.1109/EMBC58623.2025.11254455,41335783,exclude,,low relevance,1
StewardGE202541282752,Fatigue Symptoms Influence Effort-Based Decision-Making in Major Depressive Disorder.,2025,10.1101/2025.10.30.25338913,41282752,include,L1,,2
RubioMoralesA202541133563,"The Mental Fatigue Induced by Physical, Cognitive and Combined Effort in Amateur Soccer Players: A Comparative Study Using EEG.",2025,10.3390/jfmk10040373,41133563,include,multi,,3
OgutE202541107936,Assessing the efficacy of the Pomodoro technique in enhancing anatomy lesson retention during study sessions: a scoping review.,2025,10.1186/s12909-025-08001-0,41107936,exclude,,low relevance,0
HolgadoD202641106783,Cognitive endurance after intense physical effort.,2026,10.1016/j.bbr.2025.115874,41106783,exclude,,low relevance,1
HarrisonSL202541076134,The continuous daily work of living with chronic obstructive pulmonary disease: An ethnographic study.,2025,10.1016/j.rmed.2025.108405,41076134,exclude,,low relevance,0
WeilerH202541050815,Investigating the isolated effects of a soccer-specific mental fatigue manipulation on different task types.,2025,10.3389/fpsyg.2025.1655221,41050815,maybe,borderline,,2
PetersS202641047566,Functional and brain activation changes in females with subcortical subacute stroke captured through functional near infrared spectroscopy: a case series.,2026,10.1080/09593985.2025.2568708,41047566,exclude,,low relevance,0
HabayJ202640938104,Mental Fatigue Negatively Impacts Cognitive and Physical Performance Outcomes: A Large-Scale Randomized Crossover Trial.,2026,10.1249/MSS.0000000000003852,40938104,maybe,borderline,,2
TommRJ202540890025,Depression Levels Are Associated with Reduced Capacity to Learn to Actively Avoid Aversive Events in Young Adults.,2025,10.1523/ENEURO.0034-25.2025,40890025,exclude,,low relevance,1
GoeppT202540888365,A New Incremental Cycling Cognitive-Motor Dual-Task Test to Assess Simultaneous Sustained Attention and Neuromuscular Fatigue in Trained Athletes.,2025,10.1111/sms.70122,40888365,maybe,borderline,,2
EmbreyJR202540866279,Are metabolic costs needed to explain cognitive fatigue?,2025,10.1016/j.tics.2025.08.001,40866279,include,L2,,2
LiuQ202540863768,The Impact of Mental Fatigue on the Accuracy of Penalty Kicks in College Soccer Players.,2025,10.3390/sports13080259,40863768,maybe,borderline,,2
BuckL202540858902,An experimental study on the effect of symptom expectations on mental fatigue and motivation in people with primary biliary cholangitis.,2025,10.1038/s41598-025-16191-2,40858902,maybe,borderline,,2
SmitsEJC202540723645,"Investigating the Effectiveness of Self-Regulated, Pomodoro, and Flowtime Break-Taking Techniques Among Students.",2025,10.3390/bs15070861,40723645,exclude,,low relevance,0
BlancoAD202540712883,"EEG spectral power correlates across cognitive tasks: Implications for VR, UXA, and Ergonomics.",2025,10.1016/j.biopsycho.2025.109084,40712883,exclude,,low relevance,0
MilneKM202540703296,Sex-differences in the multidimensional evaluation of dyspnea in respiratory outpatients.,2025,10.3389/fmed.2025.1627496,40703296,exclude,,low relevance,0
HermanAM202540669736,"Heightened protective decision-making related to physical, but not cognitive, effort in individuals with fibromyalgia.",2025,10.1016/j.jpain.2025.105504,40669736,exclude,,low relevance,1
MoesMI202540623041,Influence of sustained cognitive loading on finger circulatory and thermoperceptual responsiveness to localized cooling.,2025,10.1152/jn.00090.2025,40623041,exclude,,low relevance,1
AndrN202540606889,Brain endurance training as a strategy for reducing mental fatigue.,2025,10.3389/fpsyg.2025.1616171,40606889,maybe,borderline,,2
KazemiN202540576458,Mental exertion causes impairments in multifinger force deficit during a handgrip strength task in older adults.,2025,10.1093/gerona/glaf141,40576458,exclude,,low relevance,0
RenL202540563713,A New Method for Inducing Mental Fatigue: A High Mental Workload Task Paradigm Based on Complex Cognitive Abilities and Time Pressure.,2025,10.3390/brainsci15060541,40563713,maybe,borderline,,2
WeilerH202540497106,Increasing ecological validity in mental fatigue research-A Footbonaut study.,2025,10.3389/fpsyg.2025.1586944,40497106,maybe,borderline,,2
LiaoKC202540478794,Behavioral and Neural correlates of Post-STROKE Fatigue: A randomized controlled trial protocol.,2025,10.1371/journal.pone.0324591,40478794,exclude,,low relevance,1
CostaYP202540474216,"Effect of caffeine on attack decision-making in trained beach volleyball players following prolonged cognitive effort induced by social media use: a randomized, single-blind, crossover pilot study.",2025,10.1186/s13102-024-01052-8,40474216,include,L1,,2
DaneshgarPironneauS202540455575,Endurance Athletes Are More Resistant to Mental Fatigue Than Nonathletes.,2025,10.1080/02701367.2025.2501972,40455575,maybe,borderline,,2
SchulzeC202540393899,A timeline of cognitive costs in decision-making.,2025,10.1016/j.tics.2025.04.004,40393899,exclude,,low relevance,0
EnglertC202540383283,Self- control - A critical discussion of a key concept in sport and exercise psychology.,2025,10.1016/j.psychsport.2025.102878,40383283,exclude,,low relevance,0
StewardG202540345833,The Neurobiology of Cognitive Fatigue and Its Influence on Effort-Based Choice.,2025,10.1523/JNEUROSCI.1612-24.2025,40345833,include,multi,,3
