record_id,title,year,doi,exclusion_reason
MannaP202641804380,From the Ocular Surface to Neurophysiology: An Integrative Review of Digital Eye Strain.,2026,10.2147/OPTO.S586750,low relevance
MathewsI202641782777,"The acute effects of Zensera™ (<i>Melissa officinalis L.</i>) extract on mood and cognitive performance during cognitive overload: a randomised placebo-controlled, double-blind study in healthy young adults with moderate subjective stress.",2026,10.1177/20451253261415706,low relevance
WuL202641760727,Characterizing alterations in attention networks under high mental workload.,2026,10.1038/s41598-026-41477-4,low relevance
SokratousD202641750192,In-Phase Bilateral Upper Limb Exercises Improve Cognitive and Motor Functions in Progressive Multiple Sclerosis: A Pilot Randomized Controlled Trial.,2026,10.3390/brainsci16020191,low relevance
NewtonN202641712958,Experiences of Alert Fatigue and Its Contributing Factors in Hospitals: Qualitative Study.,2026,10.2196/78676,low relevance
KleinAR202641578111,Examining effects of effort and reward magnitude on effort-cost decision-making in people with major depressive disorder.,2026,10.3758/s13415-026-01400-w,low relevance
IslamT202641555518,Perceived Cognitive Fatigability in Multiple Sclerosis: Input from People with Lived Experience on Unmet Needs.,2026,10.1017/cjn.2026.10531,low relevance
vanVlietFIM202641528643,Toward Measuring Cognitive Endurance Capacity: A Proof-of-Principle Study in a Healthy Population.,2026,10.1007/s10926-025-10346-8,low relevance
HoltonE202641510528,When do we experience effort?,2026,10.1007/s11229-025-05387-8,low relevance
RocA202641352637,Evolution of users' subjective experience over three training sessions with an EEG Motor-Imagery Brain-Computer Interface (MI-BCI).,2026,10.1016/j.brainres.2025.150085,low relevance
NagataC202541350572,"Comparing voice-only navigation and paper maps in middle-aged and older adults: A randomized crossover field study of wayfinding, mood, usability, and text-mined user experiences.",2025,10.1038/s41598-025-30590-5,low relevance
SattarP202541335783,Brain Activity During Repetitive Cognitive Load in Young Adults: a Pilot Study.,2025,10.1109/EMBC58623.2025.11254455,low relevance
OgutE202541107936,Assessing the efficacy of the Pomodoro technique in enhancing anatomy lesson retention during study sessions: a scoping review.,2025,10.1186/s12909-025-08001-0,low relevance
HolgadoD202641106783,Cognitive endurance after intense physical effort.,2026,10.1016/j.bbr.2025.115874,low relevance
HarrisonSL202541076134,The continuous daily work of living with chronic obstructive pulmonary disease: An ethnographic study.,2025,10.1016/j.rmed.2025.108405,low relevance
PetersS202641047566,Functional and brain activation changes in females with subcortical subacute stroke captured through functional near infrared spectroscopy: a case series.,2026,10.1080/09593985.2025.2568708,low relevance
TommRJ202540890025,Depression Levels Are Associated with Reduced Capacity to Learn to Actively Avoid Aversive Events in Young Adults.,2025,10.1523/ENEURO.0034-25.2025,low relevance
SmitsEJC202540723645,"Investigating the Effectiveness of Self-Regulated, Pomodoro, and Flowtime Break-Taking Techniques Among Students.",2025,10.3390/bs15070861,low relevance
BlancoAD202540712883,"EEG spectral power correlates across cognitive tasks: Implications for VR, UXA, and Ergonomics.",2025,10.1016/j.biopsycho.2025.109084,low relevance
MilneKM202540703296,Sex-differences in the multidimensional evaluation of dyspnea in respiratory outpatients.,2025,10.3389/fmed.2025.1627496,low relevance
HermanAM202540669736,"Heightened protective decision-making related to physical, but not cognitive, effort in individuals with fibromyalgia.",2025,10.1016/j.jpain.2025.105504,low relevance
MoesMI202540623041,Influence of sustained cognitive loading on finger circulatory and thermoperceptual responsiveness to localized cooling.,2025,10.1152/jn.00090.2025,low relevance
KazemiN202540576458,Mental exertion causes impairments in multifinger force deficit during a handgrip strength task in older adults.,2025,10.1093/gerona/glaf141,low relevance
LiaoKC202540478794,Behavioral and Neural correlates of Post-STROKE Fatigue: A randomized controlled trial protocol.,2025,10.1371/journal.pone.0324591,low relevance
SchulzeC202540393899,A timeline of cognitive costs in decision-making.,2025,10.1016/j.tics.2025.04.004,low relevance
EnglertC202540383283,Self- control - A critical discussion of a key concept in sport and exercise psychology.,2025,10.1016/j.psychsport.2025.102878,low relevance
SansoneP202540268277,"Breaking Down the 3 × 3 Basketball Game: How Tournament Phase, Game Outcome, and Final Score Margin Impact Physiological, Perceptual, and Mental Demands.",2025,10.1123/ijspp.2024-0516,low relevance
EmbreyJR202540232805,On-task errors drive effort avoidance more than opportunity costs.,2025,10.1037/xge0001752,low relevance
BoereK202540126627,The impact of a two-hour endurance run on brain activity monitored over 24 h.,2025,10.1007/s00221-025-07056-1,low relevance
